"reference","tax","description","KO","Subject","percent","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","counts_25_CT_Ext_C1_2020","counts_26_CT_Ext_C2_2020","counts_27_CT_Ext_C3_2020","counts_28_CT_Ext_C4_2020","counts_41_CT_Ext_I1_2020","counts_42_CT_Ext_I2_2020","counts_43_CT_Ext_I3_2020","counts_44_CT_Ext_I4_2020","counts_M09_CT_Ext_C1_2021","counts_M10_CT_Ext_C2_2021","counts_M11_CT_Ext_C3_2021","counts_M12_CT_Ext_C4_2021","counts_M25_CT_Ext_I1_2021","counts_M26_CT_Ext_I2_2021","counts_M27_CT_Ext_I3_2021","counts_M28_CT_Ext_I4_2021","counts_M33_CT_Ext_C1_2022","counts_M34_CT_Ext_C2_2022","counts_M35_CT_Ext_C3_2022","counts_M36_CT_Ext_C4_2022","counts_M37_CT_Ext_I1_2022","counts_M38_CT_Ext_I2_2022","counts_M39_CT_Ext_I3_2022","counts_M40_CT_Ext_I4_2022"
"k87_280_8","COG1778@1|root,COG1778@2|Bacteria,1RH85@1224|Proteobacteria,1S6D0@1236|Gammaproteobacteria,1X6HQ@135614|Xanthomonadales","Involved in the biosynthesis of lipopolysaccharides (LPSs). Catalyzes the hydrolysis of 3-deoxy-D-manno-octulosonate 8-phosphate (KDO 8-P) to 3-deoxy-D-manno-octulosonate (KDO) and inorganic phosphate","ko:K03270","PGPT0023070_903",99.5,182,1,0,127,672,1,182,2.4e-99,366.7,32,35,30,34,38,47,25,28,30,35,33,8,27,25,30,31,27,270,28,33,34,33,28,34
"k87_280_9","COG3117@1|root,COG3117@2|Bacteria,1NGCC@1224|Proteobacteria,1SGDP@1236|Gammaproteobacteria,1X75G@135614|Xanthomonadales","Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. Facilitates the transfer of LPS from the inner membrane to the periplasmic protein LptA. Could be a docking site for LptA","ko:K11719","PGPT0023299_1569",95.7,188,8,0,1,564,1,188,5e-98,362.1,4,16,10,8,16,22,24,26,8,16,12,10,26,8,18,12,6,203,6,8,18,11,14,8
"k87_280_10","COG1934@1|root,COG1934@2|Bacteria,1PBZN@1224|Proteobacteria,1SX0W@1236|Gammaproteobacteria,1X7A6@135614|Xanthomonadales","Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. May form a bridge between the inner membrane and the outer membrane, via interactions with LptC and LptD, thereby facilitating LPS transfer across the periplasm","ko:K09774","PGPT0023301_1578",94.9,175,9,0,1,525,1,175,6.3e-87,325.1,27,26,11,6,38,18,20,22,16,30,16,17,14,20,13,18,6,171,10,20,26,26,23,14
"k87_280_11","COG1137@1|root,COG1137@2|Bacteria,1MU8M@1224|Proteobacteria,1RPW1@1236|Gammaproteobacteria,1X31A@135614|Xanthomonadales","abc transporter atp-binding protein","ko:K06861","PGPT0023300_2732",100,239,0,0,1,717,1,239,7.4e-131,471.5,61,52,60,39,88,84,55,53,43,63,69,44,60,59,70,39,72,311,70,71,93,78,55,68
"k87_280_12","COG1508@1|root,COG1508@2|Bacteria,1MW4V@1224|Proteobacteria,1RMY0@1236|Gammaproteobacteria,1X3TH@135614|Xanthomonadales","Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released","ko:K03092","PGPT0000795_2319",99.1,469,4,0,4,1410,1,469,6.5e-256,887.9,40,50,37,45,84,81,62,50,53,66,61,69,60,69,43,52,31,460,46,57,92,74,81,77
"k87_280_14","COG1762@1|root,COG1762@2|Bacteria,1RD0E@1224|Proteobacteria,1S668@1236|Gammaproteobacteria,1XCMT@135614|Xanthomonadales","Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2","ko:K02806","PGPT0000135_1362",98.1,154,3,0,1,462,1,154,4.7e-78,295.4,10,10,8,18,20,8,12,10,10,8,8,12,12,20,12,10,13,190,16,18,13,12,22,14
"k87_281_1","COG2197@1|root,COG2197@2|Bacteria,1TRXG@1239|Firmicutes,4HA3V@91061|Bacilli,1ZB23@1386|Bacillus","COG2197 Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain","ko:K02479,ko:K07692","PGPT0012750_114",100,198,0,0,1,594,32,229,6.6e-109,398.3,2,2,2,2,6,8,6,0,4,2,2,2,4,8,4,4,0,6,2,8,2,6,4,4
"k87_646_4","COG0654@1|root,COG0654@2|Bacteria,1MU6I@1224|Proteobacteria,1RMS3@1236|Gammaproteobacteria,1X3RQ@135614|Xanthomonadales","hydroxylase","ko:K03185","PGPT0009550_383",96,420,12,2,91,1347,2,417,3.2e-220,769.2,72,43,30,49,86,90,63,106,81,57,68,58,46,73,55,55,72,386,76,91,82,85,102,98
"k87_646_5","COG0654@1|root,COG0654@2|Bacteria,1MU6I@1224|Proteobacteria,1RND5@1236|Gammaproteobacteria,1X3DS@135614|Xanthomonadales","Catalyzes the formation of 2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol from 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol","ko:K03184,ko:K18800","PGPT0009540_110",96.7,399,13,0,1,1197,1,399,1.8e-222,776.5,52,40,36,43,49,62,58,36,56,47,40,66,56,45,40,44,44,408,38,44,59,74,72,60
"k87_762_1","COG1290@1|root,COG1290@2|Bacteria,1MV97@1224|Proteobacteria,1RNCP@1236|Gammaproteobacteria,1X3Q9@135614|Xanthomonadales","Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis","ko:K00412","PGPT0030840_923",100,88,0,0,1,264,1,88,5.1e-45,184.9,20,20,16,10,18,17,13,15,19,22,14,12,13,16,19,14,22,137,22,19,28,26,32,30
"k87_762_2","COG0723@1|root,COG0723@2|Bacteria,1RAA2@1224|Proteobacteria,1RP9H@1236|Gammaproteobacteria,1X9JK@135614|Xanthomonadales","Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis","ko:K00411","PGPT0030835_2015",99.5,183,1,0,70,618,1,183,1.3e-104,384,22,16,15,18,18,26,21,28,18,36,21,16,25,20,30,20,17,249,22,27,40,30,29,46
"k87_762_4","COG0621@1|root,COG0621@2|Bacteria,1MURS@1224|Proteobacteria,1RMD8@1236|Gammaproteobacteria,1X3HB@135614|Xanthomonadales","Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine","ko:K06168","PGPT0007215_1311",98.3,482,8,0,1,1446,1,482,9e-269,930.6,146,92,93,86,187,163,110,135,160,170,140,123,116,122,148,127,124,645,138,127,183,148,167,146
"k87_855_1","COG0029@1|root,COG0029@2|Bacteria,2I2IJ@201174|Actinobacteria","Catalyzes the oxidation of L-aspartate to iminoaspartate","ko:K00278,ko:K00767","PGPT0013355_287",90.4,542,52,0,46,1671,5,546,6.4e-282,974.5,127,106,79,99,136,136,141,128,111,110,86,102,102,104,115,87,94,103,111,134,128,144,124,166
"k87_1161_1","COG0505@1|root,COG0505@2|Bacteria,1MUB9@1224|Proteobacteria,2TR3W@28211|Alphaproteobacteria,1JRYB@119045|Methylobacteriaceae","Belongs to the CarA family","ko:K01956","PGPT0021155_628",95.5,381,17,0,19,1161,22,402,9e-211,737.6,98,83,62,76,132,101,85,126,80,131,119,96,77,67,124,78,71,48,116,116,126,105,101,94
"k87_1377_1","COG0362@1|root,COG0362@2|Bacteria,2GJ2J@201174|Actinobacteria","Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH","ko:K00033","PGPT0017385_1779",92.3,479,37,0,1,1437,1,479,4.8e-254,881.7,53,41,34,47,105,66,89,73,78,70,60,31,55,61,44,52,59,56,95,83,59,51,88,100
"k87_1834_1","COG1952@1|root,COG1952@2|Bacteria,1RI75@1224|Proteobacteria,2UBTB@28211|Alphaproteobacteria,43JE3@69277|Phyllobacteriaceae","One of the proteins required for the normal export of preproteins out of the cell cytoplasm. It is a molecular chaperone that binds to a subset of precursor proteins, maintaining them in a translocation-competent state. It also specifically binds to its receptor SecA","ko:K03071","PGPT0025745_435",96.4,111,4,0,1,333,1,111,2.2e-45,186.4,2,1,4,0,6,0,4,4,6,6,5,0,6,2,4,4,5,0,2,2,6,4,0,6
"k87_2631_1","COG2124@1|root,COG2124@2|Bacteria,1TPWZ@1239|Firmicutes,4HAGS@91061|Bacilli,1ZC1Y@1386|Bacillus","Cytochrome P450","ko:K15468,ko:K16593","PGPT0010175_3",97.4,351,9,0,1,1053,63,413,1.7e-192,676.8,2,4,2,0,14,12,12,6,4,6,2,2,16,6,2,6,4,4,4,2,2,4,4,0
"k87_2666_1","COG1131@1|root,COG1131@2|Bacteria,1TPUP@1239|Firmicutes,4HC2V@91061|Bacilli,1ZCBF@1386|Bacillus","ABC transporter, ATP-binding protein","ko:K01990","PGPT0006725_27154",97,164,5,0,1,492,69,232,2.8e-81,306.2,0,6,2,2,16,4,0,6,0,2,4,2,2,4,6,6,0,4,6,0,4,0,2,2
"k87_2666_2","COG1131@1|root,COG1131@2|Bacteria,1TP4J@1239|Firmicutes,4HBGH@91061|Bacilli,1ZB4N@1386|Bacillus","ABC transporter, ATP-binding protein","ko:K01990","PGPT0006725_12628",98.9,177,2,0,1,531,1,177,6.3e-95,351.7,6,2,0,2,10,12,4,6,6,0,2,2,4,4,4,4,0,2,2,0,4,4,6,2
"k87_2794_1","COG3325@1|root,COG3325@2|Bacteria,1MWAR@1224|Proteobacteria,1RPNS@1236|Gammaproteobacteria,1X5BZ@135614|Xanthomonadales","chitinase","ko:K01183","PGPT0012130_1153",97.2,685,19,0,1,2055,1,685,0,1341.6,134,97,86,93,110,106,102,90,120,100,103,87,93,57,109,85,99,698,130,129,145,127,115,106
"k87_2805_3","COG1012@1|root,COG1012@2|Bacteria,1MU1V@1224|Proteobacteria,1RMBQ@1236|Gammaproteobacteria,1X3DG@135614|Xanthomonadales","Belongs to the aldehyde dehydrogenase family","ko:K00146,ko:K09472","PGPT0006035_13",95.9,511,21,0,1,1533,1,511,9.2e-272,940.6,68,69,37,54,100,88,74,106,92,97,66,66,60,56,85,62,51,472,65,75,92,83,110,93
"k87_2934_6","COG0577@1|root,COG0577@2|Bacteria,1PBKH@1224|Proteobacteria,1RMBY@1236|Gammaproteobacteria,1X30Q@135614|Xanthomonadales","MacB-like periplasmic core domain","ko:K02004","PGPT0013350_14855",98.8,83,1,0,70,318,334,416,1.4e-36,157.1,10,12,8,14,14,8,8,10,2,12,6,8,16,17,8,12,7,83,13,14,5,8,4,18
"k87_3031_2","COG1136@1|root,COG1136@2|Bacteria,4NEC5@976|Bacteroidetes,1IQ7K@117747|Sphingobacteriia","ABC transporter","-","PGPT0013345_11776",99.1,112,1,0,1,336,1,112,4.3e-57,225.3,1,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,10,0,0,0,0,4,2
"k87_3548_1","COG0129@1|root,COG0129@2|Bacteria,46TGJ@74201|Verrucomicrobia,3KA2Q@414999|Opitutae","Belongs to the IlvD Edd family","ko:K01687","PGPT0001875_3098",90.5,379,35,1,1,1137,1,378,1.6e-196,690.3,61,41,36,68,67,54,60,63,94,111,74,58,59,59,54,57,29,17,60,40,38,56,44,40
"k87_3616_1","COG0841@1|root,COG0841@2|Bacteria,1TQ03@1239|Firmicutes,4HAFP@91061|Bacilli,1ZBJ3@1386|Bacillus","Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family","ko:K03296","PGPT0016195_639",100,432,0,0,1,1296,344,775,1.7e-226,790,6,6,4,8,28,12,25,9,14,6,2,3,10,4,6,10,2,2,6,2,2,16,10,4
"k87_4484_1","COG1012@1|root,COG1012@2|Bacteria,2GIWZ@201174|Actinobacteria","Belongs to the aldehyde dehydrogenase family","ko:K00128,ko:K00131","PGPT0006875_6844",91,134,12,0,1,402,348,481,1.2e-64,250.8,4,8,12,19,19,28,20,8,22,10,19,21,20,9,11,18,21,13,6,14,22,21,25,21
"k87_4484_3","COG1874@1|root,COG1874@2|Bacteria,2GMDT@201174|Actinobacteria","Beta-galactosidase","ko:K12308","PGPT0017815_1608",90.2,61,6,0,1,183,225,285,1.3e-28,130.6,3,5,10,2,11,10,4,6,9,7,3,9,7,0,5,2,10,3,12,12,14,28,15,8
"k87_4766_2","COG0569@1|root,COG0569@2|Bacteria,1TQ9H@1239|Firmicutes,4HBPH@91061|Bacilli,1ZC2N@1386|Bacillus","COG0569 K transport systems, NAD-binding component","ko:K03499","PGPT0002710_3962",98.7,75,1,0,1,225,1,75,2e-34,149.4,0,0,0,0,2,2,2,0,0,2,2,0,4,2,2,0,0,2,0,0,0,4,0,1
"k87_4766_3","COG0569@1|root,COG0569@2|Bacteria,1TQ9H@1239|Firmicutes,4HBPH@91061|Bacilli,1ZC2N@1386|Bacillus","COG0569 K transport systems, NAD-binding component","ko:K03499","PGPT0002710_3965",99.2,133,1,0,1,399,83,215,1.1e-64,250.8,2,0,4,2,8,2,2,2,2,0,0,0,5,1,2,6,2,4,0,6,0,4,2,3
"k87_5050_1","COG0626@1|root,COG0626@2|Bacteria,1MU57@1224|Proteobacteria,2TW14@28211|Alphaproteobacteria,43JJB@69277|Phyllobacteriaceae","Catalyzes the formation of methanethiol and 2-ocobutanoate from L-methionine","ko:K01739,ko:K01761","PGPT0020020_321",98,102,2,0,1,306,1,102,3.5e-53,212.2,7,3,0,2,4,4,2,8,2,3,4,1,2,2,4,6,3,10,7,2,18,4,6,4
"k87_5050_2","COG0108@1|root,COG0807@1|root,COG0108@2|Bacteria,COG0807@2|Bacteria,1MU8P@1224|Proteobacteria,2TSMA@28211|Alphaproteobacteria,43HE7@69277|Phyllobacteriaceae","Catalyzes the conversion of D-ribulose 5-phosphate to formate and 3,4-dihydroxy-2-butanone 4-phosphate","ko:K14652","PGPT0007990_3772",95.6,367,16,0,1,1101,1,367,3.2e-202,709.1,21,16,17,7,16,12,19,16,23,18,15,9,7,20,22,24,15,21,18,32,40,24,44,18
"k87_5050_3","COG0082@1|root,COG0082@2|Bacteria,1MU98@1224|Proteobacteria,2TQY2@28211|Alphaproteobacteria,43HSI@69277|Phyllobacteriaceae","Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system","ko:K01736","PGPT0012875_3206",94.8,364,19,0,1,1092,1,364,6.1e-201,704.9,26,21,22,24,26,10,18,18,13,21,22,10,20,18,12,20,19,24,27,16,36,26,16,15
"k87_5050_6","COG0623@1|root,COG0623@2|Bacteria,1MV05@1224|Proteobacteria,2TSU4@28211|Alphaproteobacteria,43HWA@69277|Phyllobacteriaceae","Enoyl- acyl-carrier-protein reductase NADH","ko:K00208","PGPT0008370_926",97.2,211,6,0,1,633,62,272,7.3e-114,414.8,19,6,14,12,15,20,10,8,12,11,8,11,15,4,16,7,16,6,18,12,19,14,21,10
"k87_5249_1","COG2208@1|root,COG2208@2|Bacteria,1TQ92@1239|Firmicutes,4HB0X@91061|Bacilli,1ZAYZ@1386|Bacillus","stage II sporulation protein E","ko:K06382","PGPT0024675_90",99.4,327,2,0,1,981,1,327,3.3e-166,589.3,6,2,10,8,28,20,10,8,6,14,6,4,6,12,12,19,2,4,4,4,4,4,6,6
"k87_5885_4","COG0234@1|root,COG0234@2|Bacteria,2IHRC@201174|Actinobacteria","Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter","ko:K04078","PGPT0014565_535",93.9,114,6,1,1,339,12,125,1.7e-53,213.4,20,20,20,16,30,20,18,18,15,18,9,20,16,12,6,12,14,10,19,20,25,20,21,26
"k87_5885_6","COG1225@1|root,COG1225@2|Bacteria,2IHZ6@201174|Actinobacteria","PFAM alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen","ko:K03564","PGPT0013120_3900",93.5,155,10,0,1,465,1,155,3e-80,302.8,38,27,27,30,32,42,22,40,26,35,23,23,32,37,21,24,29,25,48,48,32,54,47,22
"k87_6266_2","COG4618@1|root,COG4618@2|Bacteria,1NTI5@1224|Proteobacteria,2TR17@28211|Alphaproteobacteria,43HAJ@69277|Phyllobacteriaceae","TIGRFAM type I secretion system","ko:K06148","PGPT0029385_424",96.2,314,12,0,1,942,1,314,2e-160,570.1,23,10,8,12,26,17,14,10,10,26,12,5,18,18,16,12,16,16,32,16,4,17,12,36
"k87_6413_1","COG2877@1|root,COG2877@2|Bacteria,1MV91@1224|Proteobacteria,2TRJX@28211|Alphaproteobacteria,43I5S@69277|Phyllobacteriaceae","Belongs to the KdsA family","ko:K01627","PGPT0023060_1870",96.5,254,9,0,1,762,2,255,9.6e-137,491.1,16,8,4,2,24,6,2,4,9,12,12,15,12,16,6,8,9,12,16,12,24,18,6,8
"k87_6413_3","COG0504@1|root,COG0504@2|Bacteria,1MUIT@1224|Proteobacteria,2TS4Y@28211|Alphaproteobacteria,43I20@69277|Phyllobacteriaceae","Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates","ko:K01937","PGPT0021215_3782",98.6,282,4,0,1,846,261,542,1.8e-163,580.1,18,28,9,12,12,19,18,6,12,15,9,8,9,4,14,16,17,17,19,13,24,20,12,30
"k87_6908_4","COG2199@1|root,COG3706@2|Bacteria,1R7HC@1224|Proteobacteria,1S1A7@1236|Gammaproteobacteria,1XCA4@135614|Xanthomonadales","diguanylate cyclase","ko:K11444","PGPT0015780_122",97.9,337,7,0,1,1011,1,337,4.8e-184,648.7,42,48,20,30,52,48,48,42,23,59,52,36,32,54,42,37,32,317,74,44,44,34,64,62
"k87_6908_5","COG2201@1|root,COG2201@2|Bacteria,1QBTV@1224|Proteobacteria,1S1GB@1236|Gammaproteobacteria,1XCFS@135614|Xanthomonadales","CheB methylesterase","ko:K13491","PGPT0015775_113",95.6,339,15,0,1,1017,1,339,3.2e-180,636,68,64,24,34,76,90,68,69,60,56,76,56,70,81,75,46,62,363,47,48,61,66,64,56
"k87_6908_6","COG0643@1|root,COG0745@1|root,COG0643@2|Bacteria,COG0745@2|Bacteria,1MUAG@1224|Proteobacteria,1RMS6@1236|Gammaproteobacteria,1X5PJ@135614|Xanthomonadales","Histidine Phosphotransfer domain","ko:K13490","PGPT0015770_272",98.1,752,14,0,1,2256,1,752,0,1328.5,106,78,74,98,144,126,126,147,83,118,111,91,116,132,77,101,76,808,120,100,127,117,90,99
"k87_6908_7","COG0835@1|root,COG0835@2|Bacteria,1RIUD@1224|Proteobacteria,1SBWJ@1236|Gammaproteobacteria,1X91X@135614|Xanthomonadales","Two component signalling adaptor domain","ko:K13489","PGPT0015765_272",94.3,194,11,0,1,582,1,194,9.7e-97,357.8,28,20,4,10,40,23,22,20,10,20,12,14,10,12,20,25,10,200,34,8,20,12,30,17
"k87_6908_8","COG0457@1|root,COG1352@1|root,COG0457@2|Bacteria,COG1352@2|Bacteria,1MVP3@1224|Proteobacteria,1S1XK@1236|Gammaproteobacteria,1X7PW@135614|Xanthomonadales","Methyltransferase, chemotaxis proteins","-","PGPT0015760_221",95,423,19,1,1,1269,1,421,2.1e-200,703.4,50,44,34,36,82,52,38,66,46,50,46,40,46,50,30,48,40,382,40,72,46,50,38,81
"k87_6908_9","COG0835@1|root,COG0835@2|Bacteria,1N0R3@1224|Proteobacteria,1SG9X@1236|Gammaproteobacteria,1X945@135614|Xanthomonadales","Two component signalling adaptor domain","ko:K13488","PGPT0015755_233",94.2,154,9,0,1,462,1,154,2.3e-72,276.6,12,10,6,8,10,12,18,16,16,14,12,28,16,20,10,10,11,154,10,18,20,20,12,12
"k87_6908_10","COG0840@1|root,COG0840@2|Bacteria,1MU9B@1224|Proteobacteria,1S0J1@1236|Gammaproteobacteria,1X67N@135614|Xanthomonadales","Methyl-accepting chemotaxis-like domains (chemotaxis sensory transducer).","ko:K13487","PGPT0015750_266",91.1,539,48,0,1,1617,1,539,1.4e-169,601.3,67,79,50,52,86,124,84,99,99,84,70,76,76,46,99,64,58,510,82,70,58,82,86,94
"k87_7601_2","COG0334@1|root,COG0334@2|Bacteria,1TP45@1239|Firmicutes,4HAEI@91061|Bacilli,1ZAX4@1386|Bacillus","Belongs to the Glu Leu Phe Val dehydrogenases family","ko:K00260,ko:K00262","PGPT0000690_255",99.1,460,4,0,1,1380,1,460,5.2e-266,921.4,10,6,4,4,14,13,6,20,12,10,10,8,14,10,10,16,4,4,2,0,8,20,10,13
"k87_7766_2","COG0020@1|root,COG0020@2|Bacteria,1MVP1@1224|Proteobacteria,2TTVJ@28211|Alphaproteobacteria,43IPJ@69277|Phyllobacteriaceae","Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids","ko:K00806","PGPT0024180_3730",90.8,239,22,0,1,717,1,239,1.2e-120,437.6,6,20,8,16,12,12,14,18,17,13,24,13,6,9,6,6,7,12,12,18,26,10,17,14
"k87_8154_1","COG0747@1|root,COG0747@2|Bacteria,1MUZH@1224|Proteobacteria,2TR1D@28211|Alphaproteobacteria,1JU0Q@119045|Methylobacteriaceae","PFAM extracellular solute-binding protein family 5","ko:K12368","PGPT0004500_776",100,496,0,0,1,1488,38,533,2.7e-300,1035.4,91,80,53,81,131,80,75,102,106,108,62,88,79,83,95,111,92,68,86,97,112,83,100,112
"k87_8603_2","COG3186@1|root,COG3186@2|Bacteria,1MU29@1224|Proteobacteria,1RQBJ@1236|Gammaproteobacteria,1X3NW@135614|Xanthomonadales","Phenylalanine-4-hydroxylase","ko:K00500","PGPT0020295_742",90.8,293,27,0,13,891,4,296,1.9e-160,570.1,58,67,31,50,76,46,45,63,66,77,57,56,57,59,51,62,76,328,58,63,96,64,110,105
