"Subject","Factor","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reference","tax","description","KO","percent","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore","counts_25_CT_Ext_C1_2020","counts_26_CT_Ext_C2_2020","counts_27_CT_Ext_C3_2020","counts_28_CT_Ext_C4_2020","counts_41_CT_Ext_I1_2020","counts_42_CT_Ext_I2_2020","counts_43_CT_Ext_I3_2020","counts_44_CT_Ext_I4_2020","counts_M09_CT_Ext_C1_2021","counts_M10_CT_Ext_C2_2021","counts_M11_CT_Ext_C3_2021","counts_M12_CT_Ext_C4_2021","counts_M25_CT_Ext_I1_2021","counts_M26_CT_Ext_I2_2021","counts_M27_CT_Ext_I3_2021","counts_M28_CT_Ext_I4_2021","counts_M33_CT_Ext_C1_2022","counts_M34_CT_Ext_C2_2022","counts_M35_CT_Ext_C3_2022","counts_M36_CT_Ext_C4_2022","counts_M37_CT_Ext_I1_2022","counts_M38_CT_Ext_I2_2022","counts_M39_CT_Ext_I3_2022","counts_M40_CT_Ext_I4_2022"
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_6735424_1","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,2K05F@204457|Sphingomonadales","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",96.9,32,1,0,1,96,1,32,3.3e-10,67.8,11,7,9,4,21,13,12,6,11,12,7,8,8,8,8,4,7,8,12,8,4,2,13,4
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_5009472_3","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,43HA6@69277|Phyllobacteriaceae","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",97.2,213,6,0,1,639,1,213,4e-120,435.6,44,30,29,21,26,26,17,25,15,27,30,31,19,22,25,32,35,47,20,25,49,53,29,27
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_6147752_2","COG2838@1|root,COG2838@2|Bacteria,2GJ1C@201174|Actinobacteria,4DPVX@85009|Propionibacteriales","Isocitrate dehydrogenase","ko:K00031",90.7,269,25,0,22,828,5,273,8.3e-134,481.5,108,83,66,107,140,133,117,117,93,114,98,95,84,100,66,94,72,78,83,140,74,103,85,112
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_6699413_2","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,1FBJ0@1060|Rhodobacter","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",91.2,217,19,0,1,651,1,217,1.7e-113,413.7,99,95,66,58,103,89,81,94,47,106,70,62,66,82,74,62,91,49,54,86,94,84,72,86
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_4103938_2","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",91.7,121,10,0,1,363,1,121,2.7e-60,236.1,89,107,73,73,93,63,77,75,71,99,80,76,69,43,59,52,47,56,58,85,64,56,76,68
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_2799514_2","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,43HA6@69277|Phyllobacteriaceae","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",96.9,161,5,0,1,483,244,404,2.4e-88,329.7,22,16,11,24,20,29,19,16,19,24,18,21,18,19,23,24,30,22,12,33,38,18,16,22
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_3109857_1","COG0538@1|root,COG0538@2|Bacteria,2GM3D@201174|Actinobacteria,4FM0H@85023|Microbacteriaceae","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",93.9,98,6,0,1,294,308,405,6.8e-46,188,18,19,10,23,22,38,38,34,19,21,25,20,19,24,14,33,15,23,28,42,36,26,23,32
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_962125_1","COG2838@1|root,COG2838@2|Bacteria,46TNM@74201|Verrucomicrobia,3K755@414999|Opitutae","Isocitrate dehydrogenase","ko:K00031",90.9,164,15,0,1,492,1,164,4.8e-73,278.9,21,22,24,31,18,18,14,28,59,63,40,28,30,19,12,19,19,8,28,16,24,18,22,28
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_5480121_3","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,4B99K@82115|Rhizobiaceae","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",91.9,74,6,0,1,222,329,402,4.3e-32,141.7,18,10,23,17,12,9,9,14,33,21,21,19,17,22,8,14,12,9,18,15,18,30,11,34
"PGPT0001170","icd",1199.71891564043,0.18481521350929,0.0474220709800194,3.8972404555499,9.72950048975277e-05,0.0255122743035959,"k87_6421090_1","COG0538@1|root,COG0538@2|Bacteria,1MUIB@1224|Proteobacteria,2TQWD@28211|Alphaproteobacteria,2K05F@204457|Sphingomonadales","Belongs to the isocitrate and isopropylmalate dehydrogenases family","ko:K00031",95.2,335,16,0,1,1005,57,391,8.6e-194,681,67,66,41,57,97,59,80,55,81,71,76,77,76,58,86,57,57,44,71,75,93,75,65,92
"PGPT0001470","acnB",421.672342120801,0.321991516989309,0.0747936946715746,4.3050623238122,1.66938730966863e-05,0.00945707910927279,"k87_3837563_1","COG1049@1|root,COG1049@2|Bacteria,1MVCR@1224|Proteobacteria,2VHT2@28216|Betaproteobacteria,4A9NW@80864|Comamonadaceae","Belongs to the aconitase IPM isomerase family","ko:K01682",91.5,363,31,0,1,1089,118,480,1.2e-196,690.6,54,45,33,25,62,46,42,50,91,71,80,27,57,56,44,60,49,39,72,45,51,47,34,69
"PGPT0001470","acnB",421.672342120801,0.321991516989309,0.0747936946715746,4.3050623238122,1.66938730966863e-05,0.00945707910927279,"k87_763756_1","COG1049@1|root,COG1049@2|Bacteria,1MVCR@1224|Proteobacteria,2VHT2@28216|Betaproteobacteria,4A9NW@80864|Comamonadaceae","Belongs to the aconitase IPM isomerase family","ko:K01682",95.1,307,15,0,1,921,1,307,6.5e-164,581.6,38,63,30,41,48,54,48,32,59,88,51,64,41,64,59,49,37,35,49,48,34,50,70,53
"PGPT0001470","acnB",421.672342120801,0.321991516989309,0.0747936946715746,4.3050623238122,1.66938730966863e-05,0.00945707910927279,"k87_5632083_1","COG1049@1|root,COG1049@2|Bacteria,1MVCR@1224|Proteobacteria,2VHT2@28216|Betaproteobacteria,4A9NW@80864|Comamonadaceae","Belongs to the aconitase IPM isomerase family","ko:K01682",95.1,371,18,0,1,1113,489,859,4.8e-201,705.3,64,48,33,45,60,48,55,66,107,109,113,66,67,65,75,69,64,45,87,75,52,72,81,60
"PGPT0001470","acnB",421.672342120801,0.321991516989309,0.0747936946715746,4.3050623238122,1.66938730966863e-05,0.00945707910927279,"k87_2628260_1","COG1049@1|root,COG1049@2|Bacteria,1MVCR@1224|Proteobacteria,2VHT2@28216|Betaproteobacteria,4A9NW@80864|Comamonadaceae","Belongs to the aconitase IPM isomerase family","ko:K01682",90.9,341,31,0,1,1023,1,341,6.8e-178,628.2,34,40,28,31,64,52,51,38,51,65,62,40,41,47,38,40,43,36,59,57,57,42,58,58
"PGPT0001470","acnB",421.672342120801,0.321991516989309,0.0747936946715746,4.3050623238122,1.66938730966863e-05,0.00945707910927279,"k87_1744946_8","COG1049@1|root,COG1049@2|Bacteria,1MVCR@1224|Proteobacteria,1RNMC@1236|Gammaproteobacteria,1X3YB@135614|Xanthomonadales","Belongs to the aconitase IPM isomerase family","ko:K01682",99.7,862,3,0,1,2586,1,862,0,1711.8,192,160,134,127,207,182,158,164,166,232,193,191,169,116,154,177,161,876,218,211,231,238,263,255
"PGPT0009840","srfAC|lchAC",21.2758820660265,-1.3810429099874,0.349833215502974,-3.94771808046242,7.88996365356244e-05,0.0255122743035959,"k87_4140323_1","COG1020@1|root,COG1020@2|Bacteria,1VRPH@1239|Firmicutes,4HT9K@91061|Bacilli,1ZREH@1386|Bacillus","COG1020 Non-ribosomal peptide synthetase modules and related proteins","ko:K15656,ko:K16121",99.4,160,1,0,1,480,84,243,1.8e-87,327,2,6,2,0,2,12,4,0,6,0,2,2,4,10,10,0,2,2,2,4,8,0,2,2
"PGPT0009840","srfAC|lchAC",21.2758820660265,-1.3810429099874,0.349833215502974,-3.94771808046242,7.88996365356244e-05,0.0255122743035959,"k87_4140323_2","COG1020@1|root,COG1020@2|Bacteria,1VRPH@1239|Firmicutes,4HT9K@91061|Bacilli,1ZREH@1386|Bacillus","COG1020 Non-ribosomal peptide synthetase modules and related proteins","ko:K15656,ko:K16121",99.4,167,1,0,1,501,265,431,7.8e-87,324.7,4,0,2,0,8,7,4,0,6,0,2,2,4,2,6,6,0,0,0,2,3,6,4,4
"PGPT0009840","srfAC|lchAC",21.2758820660265,-1.3810429099874,0.349833215502974,-3.94771808046242,7.88996365356244e-05,0.0255122743035959,"k87_3851635_1","COG1020@1|root,COG1020@2|Bacteria,1VRPH@1239|Firmicutes,4HT9K@91061|Bacilli,1ZREH@1386|Bacillus","COG1020 Non-ribosomal peptide synthetase modules and related proteins","ko:K15656,ko:K16121",97.7,600,14,0,1,1800,677,1276,0,1175.2,14,10,6,2,36,18,8,10,4,8,10,6,18,28,20,14,16,8,8,4,6,12,20,10
"PGPT0010135","baeG|pksG|dfnL",4.05614843042216,-5.49100606726729,1.20500579106302,-4.55682960861398,5.19315183639815e-06,0.00567929935020989,"k87_2220663_1","COG3425@1|root,COG3425@2|Bacteria,1TR4K@1239|Firmicutes,4HA67@91061|Bacilli,1ZE86@1386|Bacillus","synthase","ko:K01641,ko:K15311",99.3,303,2,0,1,909,1,303,5.4e-171,605.1,8,0,2,2,8,6,6,2,0,0,0,0,6,12,6,8,0,2,2,0,10,12,10,4
"PGPT0010165","baeN|pksN|mlnB|mlnD|dfnG",51.9680733693139,-1.25683369784244,0.242860382444773,-5.17512854583535,2.27754120023555e-07,0.000516090835973374,"k87_573894_1","COG1020@1|root,COG1028@1|root,COG3321@1|root,COG4221@1|root,COG1020@2|Bacteria,COG1028@2|Bacteria,COG3321@2|Bacteria,COG4221@2|Bacteria,1TPTH@1239|Firmicutes,4HTBC@91061|Bacilli,1ZS7J@1386|Bacillus","polyketide synthase","ko:K13611,ko:K13614",96.3,402,15,0,1,1206,4800,5201,3.3e-224,782.3,4,2,6,2,10,10,8,9,6,2,2,0,9,20,14,10,0,2,2,0,2,10,8,6
"PGPT0010165","baeN|pksN|mlnB|mlnD|dfnG",51.9680733693139,-1.25683369784244,0.242860382444773,-5.17512854583535,2.27754120023555e-07,0.000516090835973374,"k87_648538_1","COG1020@1|root,COG1028@1|root,COG3321@1|root,COG4221@1|root,COG1020@2|Bacteria,COG1028@2|Bacteria,COG3321@2|Bacteria,COG4221@2|Bacteria,1TPTH@1239|Firmicutes,4HTBC@91061|Bacilli,1ZS7J@1386|Bacillus","polyketide synthase","ko:K13611,ko:K13614",99.1,461,4,0,1,1383,983,1443,6.4e-264,914.4,14,6,2,2,50,18,10,4,10,4,2,10,14,4,10,6,0,4,4,0,2,4,6,8
"PGPT0010165","baeN|pksN|mlnB|mlnD|dfnG",51.9680733693139,-1.25683369784244,0.242860382444773,-5.17512854583535,2.27754120023555e-07,0.000516090835973374,"k87_2404314_1","COG1020@1|root,COG1028@1|root,COG3321@1|root,COG4221@1|root,COG1020@2|Bacteria,COG1028@2|Bacteria,COG3321@2|Bacteria,COG4221@2|Bacteria,1TPTH@1239|Firmicutes,4HTBC@91061|Bacilli,1ZS7J@1386|Bacillus","polyketide synthase","ko:K13611,ko:K13614",97,497,15,0,1,1491,3750,4246,1.5e-274,949.9,6,8,12,4,25,16,4,8,0,10,0,4,13,18,8,6,4,0,2,2,8,6,6,8
"PGPT0010165","baeN|pksN|mlnB|mlnD|dfnG",51.9680733693139,-1.25683369784244,0.242860382444773,-5.17512854583535,2.27754120023555e-07,0.000516090835973374,"k87_6900666_1","COG1020@1|root,COG1028@1|root,COG3321@1|root,COG4221@1|root,COG1020@2|Bacteria,COG1028@2|Bacteria,COG3321@2|Bacteria,COG4221@2|Bacteria,1TPTH@1239|Firmicutes,4HTBC@91061|Bacilli,1ZS7J@1386|Bacillus","polyketide synthase","ko:K13611,ko:K13614",97.8,543,12,0,1,1629,2761,3303,8.8e-305,1050.4,8,18,28,14,38,26,44,28,20,14,10,10,34,32,22,34,16,14,32,20,16,32,32,10
"PGPT0010165","baeN|pksN|mlnB|mlnD|dfnG",51.9680733693139,-1.25683369784244,0.242860382444773,-5.17512854583535,2.27754120023555e-07,0.000516090835973374,"k87_2726531_1","COG1020@1|root,COG1028@1|root,COG3321@1|root,COG4221@1|root,COG1020@2|Bacteria,COG1028@2|Bacteria,COG3321@2|Bacteria,COG4221@2|Bacteria,1TPTH@1239|Firmicutes,4HTBC@91061|Bacilli,1ZS7J@1386|Bacillus","polyketide synthase","ko:K13611,ko:K13614",95.8,335,14,0,1,1005,1926,2260,3.7e-189,665.6,6,0,4,0,19,16,12,2,11,2,0,8,8,10,10,8,4,4,6,2,4,12,14,14
"PGPT0012305","ppsB|fenD",8.14326838213275,-2.8923451347878,0.680045034937675,-4.25316704952176,2.10768225513068e-05,0.00955201598025224,"k87_2902611_1","COG1020@1|root,COG1020@2|Bacteria,1TPTH@1239|Firmicutes,4HAHU@91061|Bacilli,1ZB3S@1386|Bacillus","Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D-alanyl carrier protein (Dcp) DltC. In an ATP- dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall","ko:K15665",98,300,6,0,1,900,1083,1382,2e-165,586.6,0,4,2,0,6,9,2,8,0,2,0,0,10,14,12,8,4,6,8,14,6,10,2,8
"PGPT0012305","ppsB|fenD",8.14326838213275,-2.8923451347878,0.680045034937675,-4.25316704952176,2.10768225513068e-05,0.00955201598025224,"k87_2902611_2","COG1020@1|root,COG1020@2|Bacteria,1TPTH@1239|Firmicutes,4HAHU@91061|Bacilli,1ZB3S@1386|Bacillus","Catalyzes the first step in the D-alanylation of lipoteichoic acid (LTA), the activation of D-alanine and its transfer onto the D-alanyl carrier protein (Dcp) DltC. In an ATP- dependent two-step reaction, forms a high energy D-alanyl-AMP intermediate, followed by transfer of the D-alanyl residue as a thiol ester to the phosphopantheinyl prosthetic group of the Dcp. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall","ko:K15665",94.6,93,5,0,1,279,1394,1486,1.3e-43,180.3,0,0,0,2,2,0,4,2,0,2,2,2,0,9,2,2,0,0,0,0,2,4,0,0
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_1248168_4","COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,1RN8G@1236|Gammaproteobacteria,1X3Y4@135614|Xanthomonadales","twitching motility protein","ko:K02669",92.8,264,19,0,1,792,1,264,2.9e-136,489.6,80,70,60,66,102,91,75,93,73,103,104,62,61,61,80,59,65,39,70,46,73,54,79,71
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_1268307_3","COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,2VHHW@28216|Betaproteobacteria,473M7@75682|Oxalobacteraceae","Pilus retraction","ko:K02669,ko:K12203",100,48,0,0,1,144,1,48,5.3e-20,100.9,4,0,0,4,4,0,2,2,2,7,2,2,0,0,4,8,3,0,0,6,3,2,1,0
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_5529687_3","COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,2VHHW@28216|Betaproteobacteria,1KJTZ@119065|unclassified Burkholderiales","twitching motility protein","ko:K02669,ko:K12203",94.2,347,20,0,1,1041,1,347,2.5e-180,636.3,87,78,56,67,136,119,117,86,158,152,122,92,80,91,101,91,82,82,137,84,84,93,131,88
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_7015037_3","COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,1RN8G@1236|Gammaproteobacteria,1XDNT@135618|Methylococcales","TIGRFAM Pilus retraction protein PilT","ko:K02669",92.1,63,5,0,1,189,1,63,6.6e-26,120.9,18,17,11,14,21,20,8,18,9,12,20,10,20,17,16,6,13,13,22,6,14,24,16,18
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_5951003_9","COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,1RN8G@1236|Gammaproteobacteria,1X3Y4@135614|Xanthomonadales","twitching motility protein","ko:K02669",100,345,0,0,1,1035,1,345,8.9e-194,681,86,115,73,58,122,89,74,90,105,104,85,92,100,66,116,88,133,457,127,88,163,105,139,158
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_88933_2","COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,2VHHW@28216|Betaproteobacteria,4ACKU@80864|Comamonadaceae","PFAM Type II secretion system protein E","ko:K02669,ko:K12203",98.8,167,2,0,1,501,1,167,5.4e-88,328.6,24,38,36,27,37,34,42,45,38,41,40,35,40,35,24,28,20,46,51,31,44,38,49,26
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_4092927_1","COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,2VHHW@28216|Betaproteobacteria,473M7@75682|Oxalobacteraceae","Pilus retraction","ko:K02669,ko:K12203",92.1,76,6,0,1,228,1,76,2.3e-33,146,16,28,8,10,20,13,8,8,16,20,15,14,16,3,16,12,10,9,8,10,7,10,16,6
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_2896907_1","COG2805@1|root,COG2805@2|Bacteria,1MU3J@1224|Proteobacteria,2VHHW@28216|Betaproteobacteria,4ACKU@80864|Comamonadaceae","PFAM Type II secretion system protein E","ko:K02669,ko:K12203",93.5,341,22,0,1,1023,7,347,6.1e-179,631.7,80,76,53,59,109,95,80,63,118,134,145,84,73,82,102,80,82,80,92,70,93,87,106,83
"PGPT0015875","pilT",478.142338445483,0.31005097847314,0.0692318631899718,4.47844336678276,7.51893117856561e-06,0.00567929935020989,"k87_76469_1","COG2805@1|root,COG2805@2|Bacteria,3J0YS@40117|Nitrospirae","Type II/IV secretion system protein","ko:K02669",93.5,352,23,0,1,1056,1,352,1.8e-186,656.8,48,37,33,40,39,41,22,40,31,43,33,51,34,45,11,31,27,18,23,28,26,24,27,42
"PGPT0018000","gapA",941.496829575482,0.190985316870005,0.0474090650581441,4.02845566846286,5.61444447989286e-05,0.021203885319062,"k87_1566099_3","COG0057@1|root,COG0057@2|Bacteria,2GJK4@201174|Actinobacteria","Belongs to the glyceraldehyde-3-phosphate dehydrogenase family","ko:K00134",99.1,108,1,0,1,324,1,108,5.6e-54,214.9,20,23,26,14,29,35,25,33,18,26,30,35,22,22,18,22,17,23,35,22,36,43,44,22
"PGPT0018000","gapA",941.496829575482,0.190985316870005,0.0474090650581441,4.02845566846286,5.61444447989286e-05,0.021203885319062,"k87_3064221_2","COG0057@1|root,COG0057@2|Bacteria,1MU93@1224|Proteobacteria,2TR6E@28211|Alphaproteobacteria,3JSED@41294|Bradyrhizobiaceae","Belongs to the glyceraldehyde-3-phosphate dehydrogenase family","ko:K00134",92.2,335,26,0,1,1005,1,335,1.9e-180,636.7,53,60,54,60,74,67,75,75,54,78,63,57,59,52,56,57,49,57,38,66,109,69,47,54
"PGPT0018000","gapA",941.496829575482,0.190985316870005,0.0474090650581441,4.02845566846286,5.61444447989286e-05,0.021203885319062,"k87_2352327_1","COG0057@1|root,COG0057@2|Bacteria,2GJK4@201174|Actinobacteria,4FM64@85023|Microbacteriaceae","Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain","ko:K00134",98.5,66,1,0,1,198,269,334,1.9e-31,139.4,15,35,22,21,35,27,23,18,34,28,28,18,20,20,23,14,15,36,30,22,22,21,24,24
