reference	Subject	percent	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
k87_1161_1	PGPT0021155_628	95.5	381	17	0	19	1161	22	402	9.00E-211	737.6
k87_1377_1	PGPT0017385_1779	92.3	479	37	0	1	1437	1	479	4.80E-254	881.7
k87_1834_1	PGPT0025745_435	96.4	111	4	0	1	333	1	111	2.20E-45	186.4
k87_2631_1	PGPT0010175_3	97.4	351	9	0	1	1053	63	413	1.70E-192	676.8
k87_2666_1	PGPT0006725_27154	97	164	5	0	1	492	69	232	2.80E-81	306.2
k87_2666_2	PGPT0006725_12628	98.9	177	2	0	1	531	1	177	6.30E-95	351.7
k87_2794_1	PGPT0012130_1153	97.2	685	19	0	1	2055	1	685	0.00E+00	1341.6
k87_2805_3	PGPT0006035_13	95.9	511	21	0	1	1533	1	511	9.20E-272	940.6
k87_2934_6	PGPT0013350_14855	98.8	83	1	0	70	318	334	416	1.40E-36	157.1
k87_3031_2	PGPT0013345_11776	99.1	112	1	0	1	336	1	112	4.30E-57	225.3
k87_3548_1	PGPT0001875_3098	90.5	379	35	1	1	1137	1	378	1.60E-196	690.3
k87_3616_1	PGPT0016195_639	100	432	0	0	1	1296	344	775	1.70E-226	790
k87_4484_1	PGPT0006875_6844	91	134	12	0	1	402	348	481	1.20E-64	250.8
k87_4484_3	PGPT0017815_1608	90.2	61	6	0	1	183	225	285	1.30E-28	130.6
k87_4766_2	PGPT0002710_3962	98.7	75	1	0	1	225	1	75	2.00E-34	149.4
k87_4766_3	PGPT0002710_3965	99.2	133	1	0	1	399	83	215	1.10E-64	250.8
k87_5050_1	PGPT0020020_321	98	102	2	0	1	306	1	102	3.50E-53	212.2
k87_5050_2	PGPT0007990_3772	95.6	367	16	0	1	1101	1	367	3.20E-202	709.1
k87_5050_3	PGPT0012875_3206	94.8	364	19	0	1	1092	1	364	6.10E-201	704.9
k87_5050_6	PGPT0008370_926	97.2	211	6	0	1	633	62	272	7.30E-114	414.8
k87_5249_1	PGPT0024675_90	99.4	327	2	0	1	981	1	327	3.30E-166	589.3
k87_5707_5	PGPT0021380_794	94.4	36	2	0	1	108	1	36	3.60E-13	77.8
k87_5885_4	PGPT0014565_535	93.9	114	6	1	1	339	12	125	1.70E-53	213.4
k87_5885_6	PGPT0013120_3900	93.5	155	10	0	1	465	1	155	3.00E-80	302.8
k87_5999_2	PGPT0014555_5014	90.8	185	17	0	1	555	1	185	2.10E-88	330.1
k87_6266_2	PGPT0029385_424	96.2	314	12	0	1	942	1	314	2.00E-160	570.1
k87_6413_1	PGPT0023060_1870	96.5	254	9	0	1	762	2	255	9.60E-137	491.1
k87_6413_3	PGPT0021215_3782	98.6	282	4	0	1	846	261	542	1.80E-163	580.1
k87_6908_4	PGPT0015780_122	97.9	337	7	0	1	1011	1	337	4.80E-184	648.7
k87_6908_5	PGPT0015775_113	95.6	339	15	0	1	1017	1	339	3.20E-180	636
k87_6908_6	PGPT0015770_272	98.1	752	14	0	1	2256	1	752	0.00E+00	1328.5
k87_6908_7	PGPT0015765_272	94.3	194	11	0	1	582	1	194	9.70E-97	357.8
k87_6908_8	PGPT0015760_221	95	423	19	1	1	1269	1	421	2.10E-200	703.4
k87_6908_9	PGPT0015755_233	94.2	154	9	0	1	462	1	154	2.30E-72	276.6
k87_6908_10	PGPT0015750_266	91.1	539	48	0	1	1617	1	539	1.40E-169	601.3
k87_7601_2	PGPT0000690_255	99.1	460	4	0	1	1380	1	460	5.20E-266	921.4
k87_7766_2	PGPT0024180_3730	90.8	239	22	0	1	717	1	239	1.20E-120	437.6
k87_8154_1	PGPT0004500_776	100	496	0	0	1	1488	38	533	2.70E-300	1035.4
k87_8603_2	PGPT0020295_742	90.8	293	27	0	13	891	4	296	1.90E-160	570.1
k87_9313_1	PGPT0004985_5400	98.6	71	1	0	1	213	1	71	5.00E-31	138.3
k87_9313_2	PGPT0004985_1733	95.4	131	6	0	1	393	1	131	1.60E-63	246.9
k87_9313_3	PGPT0018470_7510	97.9	243	5	0	1	729	1	243	7.30E-134	481.5
k87_9475_1	PGPT0003885_270	100	44	0	0	1	132	99	142	1.80E-17	92.4
k87_9653_2	PGPT0024090_2098	94.1	85	5	0	1	255	1	85	1.30E-36	157.5
k87_9913_2	PGPT0027725_1449	92.8	334	24	0	43	1044	1	334	1.70E-168	597
k87_10857_10	PGPT0014555_2477	91.9	642	49	1	1	1926	1	639	0.00E+00	1125.2
k87_11292_1	PGPT0000450_2458	95.6	385	17	0	1	1155	1	385	5.10E-206	721.8
k87_11497_1	PGPT0012920_889	100	462	0	0	1	1386	1	462	2.90E-272	942.2
k87_11498_6	PGPT0021455_3536	98.3	176	3	0	1	528	1	176	5.40E-94	348.6
k87_11928_1	PGPT0016535_1937	100	82	0	0	1	246	238	319	1.40E-39	166.8
k87_11951_3	PGPT0003015_780	94.1	303	18	0	1	909	1	303	3.20E-163	579.3
k87_12088_3	PGPT0024375_1903	93.7	158	10	0	1	474	47	204	2.00E-71	273.5
k87_12398_3	PGPT0014575_142	90.1	101	10	0	76	378	722	822	1.50E-37	160.6
k87_12535_1	PGPT0013950_2193	95.8	331	14	0	22	1014	1	331	1.40E-162	577.4
k87_12607_2	PGPT0015350_1297	94	249	15	0	1	747	1	249	9.90E-118	427.9
k87_12719_2	PGPT0006775_751	90.6	212	20	0	1	636	1	212	8.40E-105	384.8
k87_13129_2	PGPT0025215_25	100	128	0	0	1	384	1	128	7.70E-58	228
k87_13129_3	PGPT0025220_28	90.7	108	8	1	1	324	1	106	2.60E-30	136.3
k87_13129_4	PGPT0025225_40	98.8	168	2	0	1	504	1	168	5.90E-82	308.5
k87_13851_1	PGPT0002785_3541	96.1	181	7	0	1	543	1	181	3.30E-99	365.9
k87_13851_3	PGPT0002790_273	96	50	2	0	7	156	543	592	1.70E-19	99.4
k87_13907_1	PGPT0022195_31	95.6	568	25	0	1	1704	3681	4248	0.00E+00	1094.3
k87_14116_2	PGPT0007325_3811	98.6	280	4	0	1	840	161	440	6.00E-140	501.9
k87_14221_1	PGPT0014815_2113	98.6	346	5	0	1	1038	13	358	3.50E-182	642.5
k87_14400_1	PGPT0025560_376	99	102	1	0	1	306	1	102	2.50E-51	206.1
k87_14400_2	PGPT0001915_708	95.1	286	14	0	1	858	1	286	9.80E-138	494.6
k87_14696_4	PGPT0014080_22	93.8	1006	62	0	1	3018	1	1006	0.00E+00	1877.8
k87_14697_1	PGPT0012920_578	98.5	468	7	0	13	1416	1	468	1.40E-269	933.3
k87_15271_1	PGPT0001960_3576	94	400	24	0	1	1200	14	413	4.00E-206	722.2
k87_15902_7	PGPT0008465_1456	100	358	0	0	1	1074	1	358	7.30E-207	724.5
k87_15902_13	PGPT0012865_1252	99.7	368	1	0	1	1104	1	368	2.10E-201	706.4
k87_15902_14	PGPT0012900_1282	99.5	190	1	0	1	570	1	190	7.30E-97	358.2
k87_15902_17	PGPT0009115_3335	97	201	6	0	1	603	1	201	2.30E-109	399.8
k87_15902_18	PGPT0028640_143	91.3	149	13	0	19	465	1	149	9.30E-74	281.2
k87_15902_20	PGPT0003765_11496	98.5	264	4	0	1	792	1	264	1.80E-146	523.5
k87_15902_21	PGPT0024445_1145	97.5	314	8	0	1	942	1	314	1.10E-171	607.4
k87_17920_2	PGPT0014675_2923	97.1	70	2	0	1	210	1	70	1.80E-32	142.9
k87_17920_4	PGPT0001770_6838	91.1	213	19	0	106	744	1	213	3.70E-117	426
k87_17920_6	PGPT0008860_6214	92.3	261	20	0	1	783	36	296	6.90E-138	495
k87_17972_3	PGPT0021995_1282	95.9	318	13	0	1	954	1	318	6.30E-170	601.7
k87_18013_2	PGPT0000965_201	98.5	340	5	0	1	1020	236	575	8.20E-192	674.5
k87_19271_1	PGPT0014570_1791	93.6	295	19	0	1	885	237	531	1.70E-146	523.9
k87_19566_2	PGPT0017992_6356	92.1	343	27	0	34	1062	1	343	1.40E-178	630.6
k87_19663_1	PGPT0013740_2482	96.4	276	10	0	1	828	1	276	7.00E-141	505
k87_19780_3	PGPT0013215_1837	90.7	280	26	0	19	858	1	280	3.00E-155	552.7
k87_19795_3	PGPT0014298_3515	92.5	508	38	0	1	1524	1	508	9.50E-261	904
k87_19806_2	PGPT0017710_3875	92.9	450	32	0	1	1350	95	544	1.30E-240	837
k87_21005_3	PGPT0007635_17	91.9	371	30	0	1	1113	1	371	3.60E-209	732.3
k87_21006_1	PGPT0007120_1050	90.1	372	37	0	4	1119	36	407	1.90E-205	719.9
k87_21255_2	PGPT0014875_2096	95.7	141	6	0	1	423	1	141	2.30E-69	266.5
k87_21255_3	PGPT0014875_3247	91.9	111	9	0	1	333	182	292	7.80E-51	204.5
k87_22398_1	PGPT0023624_1806	95.2	395	19	0	4	1188	9	403	7.80E-210	734.6
k87_23069_8	PGPT0026440_107	91.3	149	13	0	52	498	36	184	2.00E-74	283.5
k87_23069_12	PGPT0022770_2402	90.4	332	32	0	1	996	1	332	7.10E-180	634.8
k87_23117_1	PGPT0004275_741	91.9	99	8	0	1	297	212	310	6.50E-44	181.4
k87_23286_1	PGPT0001040_2146	98.9	92	1	0	1	276	232	323	3.20E-45	185.7
k87_23786_1	PGPT0025670_11	97.1	35	1	0	1	105	1	35	7.30E-11	70.1
k87_23786_2	PGPT0024645_46	98.9	376	4	0	1	1128	1	376	7.90E-212	741.1
k87_24182_2	PGPT0016535_7381	92.3	78	6	0	1	234	1	78	1.20E-32	143.7
k87_24759_3	PGPT0007260_145	93.2	558	38	0	1	1674	207	764	1.80E-297	1026.2
k87_25584_2	PGPT0001765_867	93.2	398	27	0	100	1293	1	398	3.70E-213	745.7
k87_26776_1	PGPT0029425_147	95.8	119	5	0	142	498	347	465	5.30E-59	232.3
k87_26776_2	PGPT0029430_63	98	98	2	0	1	294	1	98	8.00E-47	191
k87_26776_3	PGPT0029435_384	95.5	112	5	0	1	336	82	193	1.90E-52	209.9
k87_26781_1	PGPT0014303_3144	95.6	45	2	0	1	135	205	249	1.30E-15	86.3
k87_27044_1	PGPT0030505_418	91.8	73	6	0	1	219	1	73	5.70E-34	147.9
k87_27663_1	PGPT0002050_832	90.3	176	17	0	1	528	158	333	3.30E-89	332.8
k87_27985_2	PGPT0020225_359	97	298	9	0	1	894	1	298	3.40E-165	585.9
k87_28472_1	PGPT0024040_4793	97.7	383	9	0	1	1149	1	383	3.70E-209	732.3
k87_28733_1	PGPT0021240_2258	93	57	4	0	1	171	154	210	1.30E-25	119.8
k87_29023_2	PGPT0018535_3682	91.4	269	23	0	1	807	1	269	5.80E-140	501.9
k87_29197_1	PGPT0007405_960	91.2	331	25	1	10	990	1	331	4.50E-171	605.5
k87_29206_1	PGPT0024530_2115	93.8	227	14	0	1	681	322	548	1.50E-120	437.2
k87_29938_2	PGPT0012850_3337	98.4	193	3	0	1	579	236	428	3.20E-100	369.4
k87_30238_1	PGPT0015280_118	94.7	226	12	0	1	678	32	257	4.40E-117	425.6
k87_30421_1	PGPT0008090_6239	96.2	344	13	0	1	1032	73	416	2.00E-185	653.3
k87_30992_1	PGPT0006550_73	92.4	330	25	0	1	990	1	330	2.40E-180	636.3
k87_31045_1	PGPT0020050_2848	91.7	338	28	0	1	1014	4	341	2.20E-181	639.8
k87_31050_1	PGPT0008090_2255	93.1	145	10	0	16	450	3	147	1.90E-71	273.5
k87_31067_1	PGPT0020965_2159	98.3	235	4	0	1	705	360	594	6.40E-127	458.4
k87_32159_4	PGPT0016995_1447	100	130	0	0	1	390	1	130	8.10E-63	244.6
k87_32159_5	PGPT0016875_1476	100	89	0	0	1	267	1	89	5.00E-40	168.3
k87_32159_6	PGPT0002025_2237	99.8	569	1	0	1	1707	1	569	0.00E+00	1078.2
k87_32159_7	PGPT0013995_2421	99.8	453	1	0	1	1359	1	453	1.10E-231	807.4
k87_32159_10	PGPT0030500_2323	96.5	86	3	0	1	258	1	86	5.40E-39	164.9
k87_32159_11	PGPT0021160_3001	98.7	311	4	0	1	933	1	311	1.90E-166	590.1
k87_32338_2	PGPT0027520_1875	93.3	60	4	0	7	186	2	61	1.80E-23	112.8
k87_32480_2	PGPT0023875_191	100	265	0	0	1	795	1	265	2.30E-117	426.8
k87_32563_2	PGPT0027700_2745	97.2	250	7	0	1	750	1	250	2.80E-133	479.6
k87_32634_1	PGPT0014881_570	91.6	438	37	0	1	1314	1	438	3.10E-231	805.8
k87_33164_2	PGPT0015495_872	97.2	36	1	0	1	108	1	36	7.50E-11	70.1
k87_33857_4	PGPT0008995_2934	93.9	212	13	0	1	636	1	212	1.30E-105	387.5
k87_33857_5	PGPT0003680_4175	98.1	427	8	0	1	1281	1	427	4.90E-242	841.6
k87_33857_6	PGPT0003790_23544	98	701	14	0	1	2103	1	701	0.00E+00	1417.1
k87_33857_8	PGPT0014253_827	99.3	406	3	0	1	1218	1	406	2.00E-229	799.7
k87_33858_4	PGPT0003740_1190	98.3	630	11	0	1	1890	1	630	0.00E+00	1213.7
k87_33858_5	PGPT0003790_11764	99.2	791	6	0	1	2373	1	791	0.00E+00	1577
k87_33934_1	PGPT0007215_2840	90.9	176	16	0	1	528	279	454	1.60E-85	320.5
k87_33934_2	PGPT0018840_390	93.2	265	18	0	1	795	1	265	2.20E-128	463.4
k87_34241_1	PGPT0013495_41	94.3	70	4	0	1	210	36	105	1.30E-30	136.7
k87_34276_2	PGPT0013645_27	90.6	96	9	0	1	288	425	520	1.80E-40	170.2
k87_34983_1	PGPT0017992_12033	99.4	334	2	0	1	1002	1	334	1.30E-181	640.6
k87_34983_2	PGPT0015370_1609	98.8	84	1	0	1	252	1	84	2.60E-38	162.5
k87_35683_6	PGPT0008130_1972	98.9	373	4	0	1	1119	1	373	3.00E-211	739.2
k87_35990_2	PGPT0025065_107	97.3	73	2	0	1	219	1	73	3.80E-33	145.2
k87_37143_1	PGPT0015740_1444	92.9	354	24	1	1	1062	1	353	1.60E-182	643.7
k87_37382_2	PGPT0014620_1653	94.5	128	7	0	1	384	1	128	3.30E-61	239.2
k87_38745_3	PGPT0013695_2771	100	146	0	0	1	438	122	267	5.50E-76	288.5
k87_39229_1	PGPT0003670_958	98.6	211	3	0	1	633	1	211	4.40E-119	432.2
k87_39229_2	PGPT0000455_1884	98.6	74	1	0	1	222	33	106	1.50E-37	159.8
k87_39259_3	PGPT0015645_326	95	80	4	0	1	240	1	80	3.00E-36	155.6
k87_39731_2	PGPT0019745_1037	94.2	104	6	0	1	312	1	104	7.70E-56	221.1
k87_40112_1	PGPT0016870_132	98.2	55	1	0	1	165	645	699	6.60E-22	107.5
k87_40112_2	PGPT0016875_1097	98.9	88	1	0	1	264	4	91	1.90E-39	166.4
k87_40112_3	PGPT0002025_2178	94.9	177	9	0	1	531	1	177	4.10E-70	269.2
k87_42400_1	PGPT0014650_1856	94.5	217	12	0	1	651	1	217	1.00E-107	394.4
k87_42400_2	PGPT0014555_2093	98.5	135	2	0	1	405	1	135	1.60E-66	256.9
k87_42406_3	PGPT0004090_2629	90.6	832	75	2	1	2487	1	832	0.00E+00	1367.4
k87_42406_4	PGPT0004135_375	99.3	145	1	0	1	435	1	145	3.30E-76	289.3
k87_42406_11	PGPT0008385_2433	96.9	415	13	0	1	1245	1	415	8.70E-236	820.8
k87_43335_3	PGPT0003180_7794	93.7	255	16	0	1	765	1	255	5.30E-127	458.8
k87_43401_1	PGPT0012225_4520	100	356	0	0	1	1068	128	483	6.10E-206	721.5
k87_44378_2	PGPT0028890_426	92.3	65	5	0	1	195	1	65	4.30E-25	118.2
k87_45622_1	PGPT0004550_496	91.3	183	15	1	1	546	1	183	8.50E-87	324.7
k87_46004_2	PGPT0013345_6289	93.1	130	9	0	1	390	1	130	4.60E-60	236.1
k87_46317_1	PGPT0020460_1292	100	247	0	0	13	753	1	247	7.20E-145	518.1
k87_48262_1	PGPT0014895_175	97.8	46	1	0	61	198	202	247	6.10E-19	98.2
k87_49174_2	PGPT0027195_171	99	207	2	0	1	621	1	207	1.90E-122	443.4
k87_52513_1	PGPT0026815_1355	99.6	227	1	0	1	681	220	446	7.10E-131	471.5
k87_52513_2	PGPT0026820_1935	100	112	0	0	1	336	1	112	9.30E-60	234.2
k87_52839_1	PGPT0002445_332	94.3	281	16	0	1	843	1	281	4.20E-149	532.3
k87_52839_8	PGPT0001580_2827	97.1	34	1	0	1	102	452	485	1.70E-12	75.5
k87_53129_3	PGPT0020225_2981	97.2	472	13	0	1	1416	26	497	8.30E-267	924.1
k87_53288_1	PGPT0003770_11143	100	174	0	0	1	522	142	315	8.80E-89	331.3
k87_53288_2	PGPT0003760_7773	99.5	217	1	0	1	651	1	217	4.80E-116	422.2
k87_54473_1	PGPT0020110_1385	96.9	32	1	0	1	96	369	400	2.40E-11	71.6
k87_54850_1	PGPT0014560_1793	95.1	82	4	0	1	246	1	82	6.20E-37	157.9
k87_55032_2	PGPT0014675_8295	91.7	60	5	0	1	180	1	60	4.70E-25	118.6
k87_55412_2	PGPT0027700_3339	100	337	0	0	1	1011	1	337	3.70E-184	649
k87_55483_1	PGPT0008340_446	90.8	349	32	0	1	1047	121	469	4.50E-185	652.1
k87_56208_1	PGPT0013365_1354	92.2	308	24	0	43	966	16	323	1.30E-167	594
k87_56212_1	PGPT0020770_7075	95.1	61	3	0	1	183	1	61	5.00E-23	111.3
k87_57141_1	PGPT0015030_1961	90.2	102	10	0	1	306	5	106	1.20E-48	197.2
k87_57474_1	PGPT0021555_4126	94.2	86	5	0	1	258	352	437	6.40E-40	167.9
k87_57474_2	PGPT0005050_911	95.2	269	13	0	82	888	1	269	1.80E-147	526.9
k87_58258_2	PGPT0004450_2998	92.3	337	25	1	1	1008	1	337	5.90E-150	535.4
k87_58813_3	PGPT0002660_2037	91.8	122	10	0	10	375	7	128	7.10E-56	221.5
k87_59676_1	PGPT0002285_943	91.4	348	30	0	1	1044	24	371	6.40E-184	648.3
k87_60569_1	PGPT0017155_1990	100	38	0	0	1	114	209	246	1.10E-12	76.3
k87_60569_2	PGPT0016590_1496	100	341	0	0	1	1023	1	341	1.70E-181	640.2
k87_62224_1	PGPT0014296_1204	91.4	70	6	0	1	210	414	483	4.90E-30	134.8
k87_62401_1	PGPT0020020_232	93.1	72	5	0	1	216	363	434	8.90E-27	124
k87_62668_1	PGPT0004435_4329	94.3	315	18	0	1	945	1	315	7.20E-166	588.2
k87_62668_2	PGPT0004450_13679	96.2	182	7	0	1	546	93	274	4.30E-86	322.4
k87_63180_1	PGPT0022195_10	92.7	491	36	0	1	1473	4459	4949	4.70E-265	918.3
k87_63630_4	PGPT0006875_2103	95.8	192	8	0	1	576	319	510	1.30E-98	364
k87_65300_1	PGPT0001600_1991	100	160	0	0	1	480	1	160	3.80E-91	339
k87_65300_2	PGPT0001605_3717	100	215	0	0	1	645	372	586	6.30E-121	438.3
k87_65719_1	PGPT0007300_250	95.9	122	5	0	4	369	3	124	1.60E-60	236.9
k87_66975_1	PGPT0026785_1747	91.7	169	14	0	7	513	14	182	2.70E-90	336.3
k87_67106_3	PGPT0029290_1060	91.8	61	5	0	1	183	1	61	3.80E-22	109
k87_67480_1	PGPT0014585_3092	100	87	0	0	1	261	1	87	6.80E-42	174.5
k87_67996_1	PGPT0004175_1540	97.8	93	2	0	1	279	1	93	1.50E-42	176.8
k87_68536_1	PGPT0006725_15931	98.9	93	1	0	1	279	1	93	2.90E-46	189.1
k87_68536_3	PGPT0006070_2852	98.8	255	3	0	1	765	1	255	1.10E-135	487.6
k87_68875_2	PGPT0008160_1264	94.3	140	8	0	1	420	1	140	1.40E-68	263.8
k87_70842_2	PGPT0000650_1596	96.4	112	4	0	1	336	1	112	7.70E-54	214.5
k87_70933_1	PGPT0014800_806	99	100	1	0	16	315	410	509	1.10E-46	190.7
k87_71107_3	PGPT0018050_5367	100	65	0	0	1	195	362	426	7.20E-28	127.5
k87_71268_2	PGPT0001145_1760	95.7	162	7	0	415	900	136	297	3.40E-80	303.5
k87_71894_1	PGPT0013070_3752	91.3	104	9	0	1	312	34	137	5.90E-56	221.5
k87_72058_1	PGPT0020620_431	99	315	3	0	1	945	59	373	7.40E-163	578.2
k87_72709_1	PGPT0004175_967	100	101	0	0	1	303	1	101	1.40E-49	200.3
k87_72709_2	PGPT0004125_1994	98.6	69	1	0	1	207	1	69	8.20E-30	134
k87_72709_3	PGPT0004090_3910	96.3	82	3	0	4	249	1	82	1.80E-36	156.4
k87_72963_1	PGPT0017630_4365	94.3	229	12	1	1	684	274	502	2.70E-115	420.6
k87_73359_2	PGPT0009175_2306	95.1	223	11	0	1	669	243	465	1.50E-117	427.2
k87_73489_1	PGPT0002530_539	91	344	31	0	1	1032	99	442	7.30E-180	634.8
k87_73742_1	PGPT0014298_3534	100	507	0	0	1	1521	1	507	4.40E-274	948.3
k87_73742_6	PGPT0030850_657	96.1	76	3	0	1	228	44	119	2.40E-36	156
k87_74342_4	PGPT0007010_4987	90.9	253	23	0	4	762	4	256	4.60E-123	445.7
k87_74342_11	PGPT0007580_1504	91.7	108	9	0	1	324	1	108	1.60E-48	196.8
k87_74672_1	PGPT0001890_1091	95.9	412	17	0	1	1236	1	412	4.00E-225	785.4
k87_74743_1	PGPT0021380_794	97.1	35	1	0	105	1	21	55	1.20E-13	79.3
k87_74831_1	PGPT0014800_4286	99.2	237	2	0	1	711	1	237	6.60E-132	474.9
k87_74831_4	PGPT0024530_1301	99.1	573	5	0	1	1719	1	573	1.00E-303	1047
k87_74882_1	PGPT0021815_2327	94.8	249	13	0	1	747	144	392	5.50E-137	491.9
k87_75771_1	PGPT0014302_1683	93.8	64	4	0	1	192	1	64	8.00E-24	114
k87_76469_1	PGPT0015875_1321	93.5	352	23	0	1	1056	1	352	1.80E-186	656.8
k87_76469_2	PGPT0015880_165	93.8	211	13	0	1	633	1	211	3.90E-107	392.5
k87_76672_5	PGPT0017350_2359	94.5	110	6	0	1	330	392	501	3.30E-49	199.1
k87_77253_2	PGPT0027585_917	91.1	101	9	0	1	303	1	101	1.60E-45	186.8
k87_77442_3	PGPT0016845_509	91.5	211	18	0	31	663	73	283	2.70E-103	379.8
k87_78070_1	PGPT0019590_1622	91.7	242	19	1	1	723	89	330	1.40E-121	440.7
k87_78070_2	PGPT0001390_4016	92.9	85	6	0	1	255	1	85	2.80E-16	90.1
k87_78531_1	PGPT0001705_850	100	78	0	0	1	234	1	78	2.10E-34	149.4
k87_78531_2	PGPT0001700_2866	100	153	0	0	1	459	1	153	1.80E-53	213.8
k87_78531_3	PGPT0012905_606	99.4	155	1	0	46	510	1	155	2.70E-82	309.7
k87_79367_1	PGPT0009155_907	92.7	286	21	0	1	858	1	286	6.60E-134	481.9
k87_80180_1	PGPT0002380_159	95.4	303	14	0	1	909	24	326	3.10E-174	615.9
k87_80450_1	PGPT0001145_4622	98.8	240	3	0	1	720	34	273	1.60E-117	427.2
k87_81630_2	PGPT0018030_3444	91.5	211	18	0	1	633	1	211	1.30E-110	404.1
k87_82060_1	PGPT0004430_17161	90.2	451	43	1	1	1353	55	504	3.20E-236	822.4
k87_82277_2	PGPT0015740_5267	93.6	251	16	0	1	753	60	310	4.00E-127	459.1
k87_82287_1	PGPT0002570_2986	99.3	435	3	0	1	1305	1	435	3.60E-232	808.9
k87_83678_1	PGPT0015915_312	90.2	92	9	0	1	276	496	587	5.20E-40	168.3
k87_84351_1	PGPT0023510_858	98.7	694	9	0	1	2082	1	694	0.00E+00	1434.1
k87_84365_2	PGPT0013995_1149	93.2	293	20	0	1	879	173	465	2.10E-143	513.5
k87_84786_1	PGPT0013125_1753	96.1	103	4	0	1	309	1	103	6.40E-55	218
k87_84794_1	PGPT0020080_3496	92.5	53	4	0	4	162	254	306	2.60E-21	105.5
k87_85415_2	PGPT0015680_848	99.4	175	1	0	1	525	1	175	2.00E-88	330.1
k87_85554_2	PGPT0020290_143	98.3	174	3	0	1	522	1	174	1.70E-92	343.6
k87_85963_1	PGPT0008385_7110	90	60	6	0	1	180	326	385	1.50E-24	116.3
k87_85963_2	PGPT0008320_4096	92.8	402	29	0	1	1206	1	402	3.10E-214	749.2
k87_86244_3	PGPT0000650_1393	91.1	112	10	0	1	336	1	112	2.00E-49	199.9
k87_86452_1	PGPT0022600_2323	93.4	166	11	0	1	498	1	166	1.90E-85	320.1
k87_86968_1	PGPT0021150_2703	93	285	20	0	1	855	1	285	6.30E-153	545
k87_87402_1	PGPT0020505_1415	96.1	51	2	0	1	153	1	51	3.00E-21	105.1
k87_87440_1	PGPT0009160_1462	91	334	30	0	25	1026	4	337	1.70E-176	623.6
k87_87571_4	PGPT0006730_12864	92	226	18	0	1	678	50	275	1.70E-108	397.1
k87_88175_2	PGPT0014296_1595	96.2	480	18	0	22	1461	1	480	1.90E-266	922.9
k87_88264_1	PGPT0030840_613	97.6	207	5	0	1	621	1	207	5.50E-114	415.2
k87_88264_2	PGPT0030835_1867	94	134	8	0	1	402	54	187	3.40E-72	275.8
k87_88665_1	PGPT0007105_2863	97.8	45	1	0	1	135	145	189	8.80E-20	100.1
k87_88933_2	PGPT0015875_1587	98.8	167	2	0	1	501	1	167	5.40E-88	328.6
k87_89547_1	PGPT0029260_2579	94.7	38	2	0	1	114	1	38	1.30E-13	79.3
k87_89547_2	PGPT0025730_1015	95.9	121	4	1	1	363	1	120	8.30E-54	214.5
k87_89759_2	PGPT0006725_10870	97.6	41	1	0	1	123	1	41	2.20E-14	82
