Subject,Factor,Type,Pfams
PGPT0000105,vnfD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF03139;PF00148
PGPT0000106,vnfDG,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF03139;PF00148
PGPT0000110,vnfE,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF00148
PGPT0000111,vnfF,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF12838
PGPT0000115,vnfG,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF03139;PF00148
PGPT0000120,vnfH,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF13614;PF02374;PF01656;PF00142;PF10609
PGPT0000125,vnfK,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-NITROGENASE_BIOSYNTHESIS,PF00148
PGPT0000130,nifL,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;UNIVERSAL_STRESS_RESPONSE;STRESS_SIGNALLING_PROTEINS;STRESS_SIGNAL-NITROGEN_STARVATION,PF02518;PF14501;PF00989;PF08447;PF08448;PF13188;PF13426
PGPT0000131,nodO,PGPT;INDIRECT_EFFECTS;COLONIZING_PLANT_SYSTEM;ROOT_COLONIZATION;ROOT_COLONIZATION_BY_NODULATION;ROOT_NODULE_SPECIFIC_TRANSPORT,
PGPT0000135,ptsN,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS,PF00359
PGPT0000140,fixL,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF02518;PF00512;PF00989;PF08447;PF08448;PF12860;PF13188;PF13426
PGPT0000145,fixJ,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF00196;PF00072;PF08281
PGPT0000150,fixK,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-OTHER_NITROGEN_FIXATION_REGULATORS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;NITROGEN_REGULATING_FUNCTIONS,PF00027;PF00325;PF13545
PGPT0000152,fixO|ccoO,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;CBB3-TYPE_CYTOCHROME_C_OXIDASE#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_FITNESS;CE-BACTERIAL_FITNESS-ENERGY_METABOLISM;CE-BACTERIAL_FITNESS-AEROBIC_RESPIRATION|OXIDATIVE_PHOSPHORYLATION,PF13442;PF00034;PF02433
PGPT0000153,fixP|ccoP,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;CBB3-TYPE_CYTOCHROME_C_OXIDASE#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_FITNESS;CE-BACTERIAL_FITNESS-ENERGY_METABOLISM;CE-BACTERIAL_FITNESS-AEROBIC_RESPIRATION|OXIDATIVE_PHOSPHORYLATION,PF14522;PF13442;PF00034;PF14537
PGPT0000154,fixQ|ccoQ,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;CBB3-TYPE_CYTOCHROME_C_OXIDASE#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_FITNESS;CE-BACTERIAL_FITNESS-ENERGY_METABOLISM;CE-BACTERIAL_FITNESS-AEROBIC_RESPIRATION|OXIDATIVE_PHOSPHORYLATION,
PGPT0000155,hyfA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00037;PF13237;PF13247;PF13484;PF12797;PF14697;PF12798;PF12837;PF12838;PF13183;PF13187
PGPT0000160,hyfB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF01381;PF00361
PGPT0000165,hyfC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00146
PGPT0000170,hyfD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00361;PF00662
PGPT0000175,hyfE,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,
PGPT0000180,hyfF,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00361
PGPT0000185,hyfG,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00329;PF00346;PF00374
PGPT0000190,hyfH,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00037;PF13237;PF13484;PF14697;PF12838;PF13187
PGPT0000195,hyfI,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF01058
PGPT0000200,hyfJ,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF07450
PGPT0000205,hyfR,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF07728;PF13185;PF02954;PF01078;PF00158;PF14532
PGPT0000210,hupL|hyaB|hybC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-REMEDIATION;XENOBIOTICS_BIODEGRADATION;XENOBIOTIC_TOLULENE|DERIVATE_DEGRADATION;XENOBIOTIC_NITROTOLULENE_DEGRADATION,PF00374
PGPT0000215,hupS|hyaA|hybO,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-REMEDIATION;XENOBIOTICS_BIODEGRADATION;XENOBIOTIC_TOLULENE|DERIVATE_DEGRADATION;XENOBIOTIC_NITROTOLULENE_DEGRADATION,PF14720;PF01058
PGPT0000220,hupC|hyaC,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF14358;PF01292
PGPT0000225,hupU,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF14720;PF01058
PGPT0000230,hupV|hupK,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00374
PGPT0000235,hyaD|hybD|hupD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF13614;PF01656;PF09140;PF10609
PGPT0000240,hypA|hybF,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF01155
PGPT0000245,hypB|hupJ,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF02492
PGPT0000250,hypC|hupF,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00708;PF01455;PF17788;PF01300
PGPT0000255,hypD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF01924
PGPT0000260,hypE,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00586;PF02769;PF13580
PGPT0000265,hypF,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF00708;PF17788;PF01300;PF07503
PGPT0000270,hupR|hoxA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF07724;PF07728;PF02954;PF07238;PF00158;PF14532
PGPT0000275,hupT|hoxJ,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION;N-FIX-HYDROGENASE_BIOSYNTHESIS,PF07696;PF07695;PF02518;PF00512;PF00989;PF08448;PF13426
PGPT0000280,narB,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE_REDUCTION,PF04324;PF00384;PF04879;PF01568;PF00070;PF07992;PF13738;PF18267
PGPT0000285,narG|narZ|nxrA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE_REDUCTION#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-OTHER_ACID_METABOLISM;P-SOLUBILISATION-NITRIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILISATION-OTHER_ACID_METABOLISMS;K-SOLUBILISATION-NITRIC_ACID_BIOSYNTHESIS,PF13237;PF13247;PF12838;PF00384;PF01568;PF14710;PF14711
PGPT0000290,nfrA1|ywcG,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE_REDUCTION#PGPT;DIRECT_EFFECTS;BIO-REMEDIATION;XENOBIOTICS_BIODEGRADATION;XENOBIOTIC_DEGRADATION_OF_OTHER_NITRO-COMPOUNDS;XENOBIOTIC_NITRO-AROMATE_DEGRADATION#PGPT;DIRECT_EFFECTS;PHYTOHORMONE|PLANT_SIGNAL_PRODUCTION;PLANT_VITAMIN_PRODUCTION;PLANT_VITAMIN_B2|RIBOFLAVIN_METABOLISM;PLANT_VITAMIN_B2|RIBOFLAVIN_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-VITAMIN_B2|RIBOFLAVIN_METABOLISM#PGPT;INDIRECT_EFFECTS;PLANT_IMMUNE_RESPONSE_STIMULATION;INDUCTION_OF_SYSTEMIC_RESISTANCE|ISR;ISR-VITAMIN_B2|RIBOFLAVIN_METABOLISM;ISR-VITAMIN_B2|RIBOFLAVIN_BIOSYNTHESIS,PF01557;PF00881
PGPT0000295,nfrA2|ycnD,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE_REDUCTION#PGPT;DIRECT_EFFECTS;BIO-REMEDIATION;XENOBIOTICS_BIODEGRADATION;XENOBIOTIC_DEGRADATION_OF_OTHER_NITRO-COMPOUNDS;XENOBIOTIC_NITRO-AROMATE_DEGRADATION#PGPT;DIRECT_EFFECTS;PHYTOHORMONE|PLANT_SIGNAL_PRODUCTION;PLANT_VITAMIN_PRODUCTION;PLANT_VITAMIN_B2|RIBOFLAVIN_METABOLISM;PLANT_VITAMIN_B2|RIBOFLAVIN_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;STRESS_CONTROL|BIOCONTROL;NEUTRALIZING_ABIOTIC_STRESS;NEUTRALIZING_SALINITY_STRESS;SALINITY_STRESS-VITAMIN_B2|RIBOFLAVIN_METABOLISM#PGPT;INDIRECT_EFFECTS;PLANT_IMMUNE_RESPONSE_STIMULATION;INDUCTION_OF_SYSTEMIC_RESISTANCE|ISR;ISR-VITAMIN_B2|RIBOFLAVIN_METABOLISM;ISR-VITAMIN_B2|RIBOFLAVIN_BIOSYNTHESIS#PGPT;INDIRECT_EFFECTS;COMPETITIVE_EXCLUSION|CE;CE-BACTERIAL_FITNESS;CE-BACTERIAL_FITNESS-RESISTANCE_TO_ANTIMICROBIAL|TOXIC_COMPOUNDS;CE-BACTERIAL_FITNESS-CHROMANON_RESISTANCE,PF00881
PGPT0000300,narK|nrtP|nrt|narU,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE_REDUCTION,PF07690
PGPT0000305,narX,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE_REDUCTION#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE|NITRITE_SENSING#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-REGULATION;N-AQUISITION-NITRATE|NITRITE_SENSING,PF01590;PF13185;PF13492;PF02518;PF07730;PF13188;PF13426
PGPT0000310,napA,PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;NITROGEN_ACQUISITION;N-AQUISITION-DENITRIFICATION|NITRATE_USAGE;DENITRIFICATION-NITRATE_REDUCTION#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;PHOSPHATE_SOLUBILIZATION;P-SOLUBILISATION-OTHER_ACID_METABOLISM;P-SOLUBILISATION-NITRIC_ACID_BIOSYNTHESIS#PGPT;DIRECT_EFFECTS;BIO-FERTILIZATION;POTASSIUM_SOLUBILIZATION;K-SOLUBILISATION-OTHER_ACID_METABOLISMS;K-SOLUBILISATION-NITRIC_ACID_BIOSYNTHESIS,PF00384;PF04879;PF01568
